"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","354","n/e","n/e","2462","0","0","n/e","n/e","n/e","","278","8","n/e","n/e","5003","652","n/e","0","267","337","108"
"BZN|BE","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","354","n/e","n/e","2334","0","0","n/e","n/e","n/e","226","","8","n/e","n/e","5003","645","n/e","0","260","345","107"
"BZN|BE","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","355","n/e","n/e","2197","0","0","n/e","n/e","n/e","33","71","8","n/e","n/e","5002","660","n/e","0","265","364","90"
"BZN|BE","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","354","n/e","n/e","2249","0","0","n/e","n/e","n/e","","456","8","n/e","n/e","5003","656","n/e","0","264","342","87"
"BZN|BE","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","358","n/e","n/e","1952","0","0","n/e","n/e","n/e","","828","8","n/e","n/e","5003","651","n/e","0","266","439","84"
"BZN|BE","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","358","n/e","n/e","1783","0","0","n/e","n/e","n/e","","824","8","n/e","n/e","5004","628","n/e","0","268","491","84"
"BZN|BE","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","359","n/e","n/e","1714","0","0","n/e","n/e","n/e","","819","8","n/e","n/e","4999","629","n/e","0","268","527","66"
"BZN|BE","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","357","n/e","n/e","1698","0","0","n/e","n/e","n/e","","736","8","n/e","n/e","4993","637","n/e","0","266","474","72"
"BZN|BE","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","359","n/e","n/e","1721","0","0","n/e","n/e","n/e","","734","8","n/e","n/e","4992","661","n/e","0","266","430","81"
"BZN|BE","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","358","n/e","n/e","1738","0","0","n/e","n/e","n/e","","42","8","n/e","n/e","4994","671","n/e","46","268","463","85"
"BZN|BE","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","360","n/e","n/e","1850","0","0","n/e","n/e","n/e","96","","8","n/e","n/e","4993","674","n/e","175","268","442","90"
"BZN|BE","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","359","n/e","n/e","1922","0","0","n/e","n/e","n/e","139","","8","n/e","n/e","4987","672","n/e","305","267","430","78"
"BZN|BE","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","361","n/e","n/e","1973","0","0","n/e","n/e","n/e","246","","8","n/e","n/e","4987","676","n/e","311","269","416","92"
"BZN|BE","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","360","n/e","n/e","1997","0","0","n/e","n/e","n/e","169","","8","n/e","n/e","4987","675","n/e","218","267","472","108"
