"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|EE","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","69","n/e","53","1","n/e","n/e","587","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","17","n/e","97"
"BZN|EE","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","64","n/e","54","1","n/e","n/e","577","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","17","n/e","86"
"BZN|EE","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","64","n/e","55","1","n/e","n/e","577","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","84"
"BZN|EE","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","63","n/e","56","1","n/e","n/e","575","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","78"
"BZN|EE","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","65","n/e","56","1","n/e","n/e","575","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","71"
"BZN|EE","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","65","n/e","56","1","n/e","n/e","575","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","57"
"BZN|EE","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","577","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","46"
"BZN|EE","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","579","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","41"
"BZN|EE","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","597","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","36"
"BZN|EE","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","578","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","36"
"BZN|EE","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","578","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","35"
"BZN|EE","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","592","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","29"
"BZN|EE","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","65","n/e","55","1","n/e","n/e","618","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","28"
"BZN|EE","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","64","n/e","55","1","n/e","n/e","654","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","15","n/e","29"
"BZN|EE","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","65","n/e","56","1","n/e","n/e","673","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","31"
"BZN|EE","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","66","n/e","56","1","n/e","n/e","669","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","35"
"BZN|EE","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","67","n/e","56","1","n/e","n/e","710","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","27"
"BZN|EE","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","67","n/e","56","1","n/e","n/e","718","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","30"
"BZN|EE","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","67","n/e","56","1","n/e","n/e","745","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","23"
"BZN|EE","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","69","n/e","55","1","n/e","n/e","746","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","35"
"BZN|EE","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","70","n/e","54","1","n/e","n/e","745","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","15","n/e","38"
"BZN|EE","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","70","n/e","54","1","n/e","n/e","750","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","15","n/e","34"
"BZN|EE","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","70","n/e","54","1","n/e","n/e","777","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","40"
"BZN|EE","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","69","n/e","54","1","n/e","n/e","789","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","40"
"BZN|EE","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","69","n/e","54","1","n/e","n/e","812","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","32"
"BZN|EE","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","64","n/e","54","1","n/e","n/e","834","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","35"
"BZN|EE","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","64","n/e","54","1","n/e","n/e","865","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","16","n/e","24"
"BZN|EE","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","63","n/e","54","1","n/e","n/e","861","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","15","n/e","13"
"BZN|EE","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","65","n/e","54","1","n/e","n/e","893","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","14","n/e","20"
"BZN|EE","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","64","n/e","55","1","n/e","n/e","835","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","5","1","14","n/e","27"
"BZN|EE","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","64","n/e","55","1","n/e","n/e","817","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","15","n/e","19"
