"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FI","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","945","n/e","n/e","569","840","5","n/e","424","n/e","n/e","n/e","611","n/e","n/e","2717","83","46","n/e","33","n/e","670"
"BZN|FI","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","925","n/e","n/e","552","830","5","n/e","436","n/e","n/e","n/e","608","n/e","n/e","2716","83","47","n/e","32","n/e","589"
"BZN|FI","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","926","n/e","n/e","653","742","5","n/e","435","n/e","n/e","n/e","566","n/e","n/e","2715","83","47","n/e","29","n/e","566"
"BZN|FI","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","926","n/e","n/e","745","746","5","n/e","454","n/e","n/e","n/e","524","n/e","n/e","2716","85","47","n/e","29","n/e","469"
"BZN|FI","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","928","n/e","n/e","777","753","5","n/e","463","n/e","n/e","n/e","549","n/e","n/e","2716","87","47","n/e","32","n/e","383"
"BZN|FI","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","936","n/e","n/e","767","759","5","n/e","476","n/e","n/e","n/e","554","n/e","n/e","2716","92","47","n/e","29","n/e","295"
"BZN|FI","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","942","n/e","n/e","766","761","5","n/e","485","n/e","n/e","n/e","661","n/e","n/e","2716","98","47","n/e","22","n/e","227"
"BZN|FI","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","958","n/e","n/e","764","788","5","n/e","499","n/e","n/e","n/e","732","n/e","n/e","2716","105","47","n/e","23","n/e","163"
"BZN|FI","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","961","n/e","n/e","750","806","5","n/e","504","n/e","n/e","n/e","767","n/e","n/e","2716","108","48","n/e","24","n/e","133"
"BZN|FI","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","963","n/e","n/e","745","820","5","n/e","503","n/e","n/e","n/e","870","n/e","n/e","2716","110","47","n/e","24","n/e","137"
"BZN|FI","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","964","n/e","n/e","757","824","5","n/e","499","n/e","n/e","n/e","948","n/e","n/e","2716","110","48","n/e","21","n/e","101"
"BZN|FI","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","952","n/e","n/e","790","854","5","n/e","506","n/e","n/e","n/e","998","n/e","n/e","2715","109","48","n/e","18","n/e","117"
"BZN|FI","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","953","n/e","n/e","820","848","5","n/e","508","n/e","n/e","n/e","1108","n/e","n/e","2715","108","48","n/e","12","n/e","125"
"BZN|FI","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","958","n/e","n/e","800","858","5","n/e","503","n/e","n/e","n/e","1225","n/e","n/e","2715","109","47","n/e","11","n/e","127"
"BZN|FI","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","963","n/e","n/e","811","871","5","n/e","511","n/e","n/e","n/e","1370","n/e","n/e","2715","114","48","n/e","20","n/e","162"
"BZN|FI","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","970","n/e","n/e","804","876","5","n/e","518","n/e","n/e","n/e","1285","n/e","n/e","2716","118","49","n/e","18","n/e","165"
"BZN|FI","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","975","n/e","n/e","825","874","5","n/e","515","n/e","n/e","n/e","1356","n/e","n/e","2715","119","48","n/e","16","n/e","176"
"BZN|FI","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","989","n/e","n/e","829","871","5","n/e","513","n/e","n/e","n/e","1399","n/e","n/e","2716","118","48","n/e","16","n/e","206"
"BZN|FI","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","990","n/e","n/e","871","885","5","n/e","521","n/e","n/e","n/e","1377","n/e","n/e","2716","118","48","n/e","16","n/e","195"
"BZN|FI","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","984","n/e","n/e","882","897","5","n/e","510","n/e","n/e","n/e","1390","n/e","n/e","2716","118","47","n/e","16","n/e","233"
"BZN|FI","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","976","n/e","n/e","872","890","5","n/e","497","n/e","n/e","n/e","1233","n/e","n/e","2715","121","47","n/e","16","n/e","235"
"BZN|FI","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","943","n/e","n/e","856","892","5","n/e","491","n/e","n/e","n/e","1181","n/e","n/e","2716","126","48","n/e","15","n/e","232"
"BZN|FI","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","947","n/e","n/e","855","889","5","n/e","492","n/e","n/e","n/e","1090","n/e","n/e","2716","128","48","n/e","19","n/e","212"
"BZN|FI","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","948","n/e","n/e","850","900","5","n/e","495","n/e","n/e","n/e","995","n/e","n/e","2716","130","49","n/e","16","n/e","248"
"BZN|FI","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","956","n/e","n/e","857","914","5","n/e","493","n/e","n/e","n/e","863","n/e","n/e","2716","133","48","n/e","11","n/e","237"
"BZN|FI","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","942","n/e","n/e","866","930","5","n/e","507","n/e","n/e","n/e","830","n/e","n/e","2717","137","47","n/e","22","n/e","247"
"BZN|FI","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","939","n/e","n/e","864","934","5","n/e","524","n/e","n/e","n/e","829","n/e","n/e","2717","140","46","n/e","38","n/e","216"
"BZN|FI","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","942","n/e","n/e","860","940","5","n/e","513","n/e","n/e","n/e","833","n/e","n/e","2717","143","47","n/e","39","n/e","182"
"BZN|FI","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","956","n/e","n/e","862","936","5","n/e","524","n/e","n/e","n/e","822","n/e","n/e","2716","147","47","n/e","39","n/e","209"
"BZN|FI","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","971","n/e","n/e","867","951","5","n/e","546","n/e","n/e","n/e","920","n/e","n/e","2716","148","47","n/e","39","n/e","214"
"BZN|FI","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","991","n/e","n/e","903","911","5","n/e","604","n/e","n/e","n/e","1273","n/e","n/e","2717","147","47","n/e","39","n/e","220"
"BZN|FI","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","996","n/e","n/e","977","804","5","n/e","669","n/e","n/e","n/e","1511","n/e","n/e","2717","144","45","n/e","39","n/e","237"
"BZN|FI","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","1005","n/e","n/e","975","810","16","n/e","726","n/e","n/e","n/e","1591","n/e","n/e","2720","144","41","n/e","39","n/e","260"
"BZN|FI","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","1000","n/e","n/e","967","810","15","n/e","744","n/e","n/e","n/e","1756","n/e","n/e","2717","145","42","n/e","39","n/e","248"
"BZN|FI","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","1001","n/e","n/e","960","808","5","n/e","737","n/e","n/e","n/e","1815","n/e","n/e","2716","145","42","n/e","39","n/e","190"
"BZN|FI","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","999","n/e","n/e","974","799","5","n/e","736","n/e","n/e","n/e","1849","n/e","n/e","2716","145","43","n/e","35","n/e","151"
"BZN|FI","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","998","n/e","n/e","972","792","5","n/e","738","n/e","n/e","n/e","1871","n/e","n/e","2716","145","42","n/e","12","n/e","131"
