"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IE(SEM)","01.01.2017 00:00 - 01.01.2017 00:30 (CET/CEST)","n/e","n/e","n/e","1224","878","5","n/e","255","n/e","18","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1377"
"BZN|IE(SEM)","01.01.2017 00:30 - 01.01.2017 01:00 (CET/CEST)","n/e","n/e","n/e","1232","871","5","n/e","269","n/e","17","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1260"
"BZN|IE(SEM)","01.01.2017 01:00 - 01.01.2017 01:30 (CET/CEST)","n/e","n/e","n/e","1221","854","5","n/e","286","n/e","16","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1245"
"BZN|IE(SEM)","01.01.2017 01:30 - 01.01.2017 02:00 (CET/CEST)","n/e","n/e","n/e","1314","860","5","n/e","292","n/e","1","","22","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1105"
"BZN|IE(SEM)","01.01.2017 02:00 - 01.01.2017 02:30 (CET/CEST)","n/e","n/e","n/e","1224","845","5","n/e","302","n/e","76","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1174"
"BZN|IE(SEM)","01.01.2017 02:30 - 01.01.2017 03:00 (CET/CEST)","n/e","n/e","n/e","1017","824","5","n/e","314","n/e","76","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1373"
"BZN|IE(SEM)","01.01.2017 03:00 - 01.01.2017 03:30 (CET/CEST)","n/e","n/e","n/e","941","744","5","n/e","306","n/e","151","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1533"
"BZN|IE(SEM)","01.01.2017 03:30 - 01.01.2017 04:00 (CET/CEST)","n/e","n/e","n/e","934","574","5","n/e","311","n/e","150","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1630"
"BZN|IE(SEM)","01.01.2017 04:00 - 01.01.2017 04:30 (CET/CEST)","n/e","n/e","n/e","922","490","5","n/e","310","n/e","150","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1590"
"BZN|IE(SEM)","01.01.2017 04:30 - 01.01.2017 05:00 (CET/CEST)","n/e","n/e","n/e","942","430","5","n/e","314","n/e","148","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1499"
"BZN|IE(SEM)","01.01.2017 05:00 - 01.01.2017 05:30 (CET/CEST)","n/e","n/e","n/e","899","373","5","n/e","306","n/e","149","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1515"
"BZN|IE(SEM)","01.01.2017 05:30 - 01.01.2017 06:00 (CET/CEST)","n/e","n/e","n/e","806","373","5","n/e","307","n/e","223","","20","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1558"
"BZN|IE(SEM)","01.01.2017 06:00 - 01.01.2017 06:30 (CET/CEST)","n/e","n/e","n/e","770","389","5","n/e","293","n/e","222","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1621"
"BZN|IE(SEM)","01.01.2017 06:30 - 01.01.2017 07:00 (CET/CEST)","n/e","n/e","n/e","787","405","5","n/e","274","n/e","220","","22","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1622"
"BZN|IE(SEM)","01.01.2017 07:00 - 01.01.2017 07:30 (CET/CEST)","n/e","n/e","n/e","758","380","5","n/e","289","n/e","226","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1711"
"BZN|IE(SEM)","01.01.2017 07:30 - 01.01.2017 08:00 (CET/CEST)","n/e","n/e","n/e","760","372","5","n/e","300","n/e","291","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1813"
"BZN|IE(SEM)","01.01.2017 08:00 - 01.01.2017 08:30 (CET/CEST)","n/e","n/e","n/e","739","370","5","n/e","306","n/e","290","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1833"
"BZN|IE(SEM)","01.01.2017 08:30 - 01.01.2017 09:00 (CET/CEST)","n/e","n/e","n/e","748","372","5","n/e","267","n/e","287","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1951"
"BZN|IE(SEM)","01.01.2017 09:00 - 01.01.2017 09:30 (CET/CEST)","n/e","n/e","n/e","783","391","5","n/e","251","n/e","283","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1973"
"BZN|IE(SEM)","01.01.2017 09:30 - 01.01.2017 10:00 (CET/CEST)","n/e","n/e","n/e","759","386","5","n/e","234","n/e","281","","21","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1904"
"BZN|IE(SEM)","01.01.2017 10:00 - 01.01.2017 10:30 (CET/CEST)","n/e","n/e","n/e","763","409","5","n/e","240","n/e","142","","36","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1801"
"BZN|IE(SEM)","01.01.2017 10:30 - 01.01.2017 11:00 (CET/CEST)","n/e","n/e","n/e","782","389","5","n/e","233","n/e","15","","55","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1916"
"BZN|IE(SEM)","01.01.2017 11:00 - 01.01.2017 11:30 (CET/CEST)","n/e","n/e","n/e","821","403","5","n/e","239","n/e","23","","56","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1988"
"BZN|IE(SEM)","01.01.2017 11:30 - 01.01.2017 12:00 (CET/CEST)","n/e","n/e","n/e","774","376","5","n/e","285","n/e","15","","56","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2025"
"BZN|IE(SEM)","01.01.2017 12:00 - 01.01.2017 12:30 (CET/CEST)","n/e","n/e","n/e","905","395","5","n/e","299","n/e","105","","69","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2125"
"BZN|IE(SEM)","01.01.2017 12:30 - 01.01.2017 13:00 (CET/CEST)","n/e","n/e","n/e","832","473","5","n/e","306","n/e","15","","78","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2245"
"BZN|IE(SEM)","01.01.2017 13:00 - 01.01.2017 13:30 (CET/CEST)","n/e","n/e","n/e","815","540","5","n/e","327","n/e","25","","81","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2090"
"BZN|IE(SEM)","01.01.2017 13:30 - 01.01.2017 14:00 (CET/CEST)","n/e","n/e","n/e","826","514","5","n/e","327","n/e","22","","95","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2122"
"BZN|IE(SEM)","01.01.2017 14:00 - 01.01.2017 14:30 (CET/CEST)","n/e","n/e","n/e","796","502","5","n/e","321","n/e","16","","102","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2003"
"BZN|IE(SEM)","01.01.2017 14:30 - 01.01.2017 15:00 (CET/CEST)","n/e","n/e","n/e","796","456","5","n/e","322","n/e","16","","102","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2046"
"BZN|IE(SEM)","01.01.2017 15:00 - 01.01.2017 15:30 (CET/CEST)","n/e","n/e","n/e","791","438","5","n/e","319","n/e","15","","101","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1961"
"BZN|IE(SEM)","01.01.2017 15:30 - 01.01.2017 16:00 (CET/CEST)","n/e","n/e","n/e","816","464","5","n/e","326","n/e","21","","103","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1937"
"BZN|IE(SEM)","01.01.2017 16:00 - 01.01.2017 16:30 (CET/CEST)","n/e","n/e","n/e","836","476","5","n/e","327","n/e","25","","104","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1895"
"BZN|IE(SEM)","01.01.2017 16:30 - 01.01.2017 17:00 (CET/CEST)","n/e","n/e","n/e","846","471","5","n/e","327","n/e","24","","104","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2035"
"BZN|IE(SEM)","01.01.2017 17:00 - 01.01.2017 17:30 (CET/CEST)","n/e","n/e","n/e","844","481","5","n/e","328","n/e","21","","108","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1989"
"BZN|IE(SEM)","01.01.2017 17:30 - 01.01.2017 18:00 (CET/CEST)","n/e","n/e","n/e","834","512","5","n/e","326","n/e","149","","112","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2072"
"BZN|IE(SEM)","01.01.2017 18:00 - 01.01.2017 18:30 (CET/CEST)","n/e","n/e","n/e","1102","612","5","n/e","326","n/e","186","","112","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2102"
"BZN|IE(SEM)","01.01.2017 18:30 - 01.01.2017 19:00 (CET/CEST)","n/e","n/e","n/e","1079","660","5","n/e","321","n/e","180","","110","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2097"
"BZN|IE(SEM)","01.01.2017 19:00 - 01.01.2017 19:30 (CET/CEST)","n/e","n/e","n/e","980","644","5","n/e","318","n/e","177","","109","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2118"
"BZN|IE(SEM)","01.01.2017 19:30 - 01.01.2017 20:00 (CET/CEST)","n/e","n/e","n/e","990","511","5","n/e","321","n/e","180","","110","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1976"
"BZN|IE(SEM)","01.01.2017 20:00 - 01.01.2017 20:30 (CET/CEST)","n/e","n/e","n/e","1050","529","5","n/e","327","n/e","189","","104","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1958"
"BZN|IE(SEM)","01.01.2017 20:30 - 01.01.2017 21:00 (CET/CEST)","n/e","n/e","n/e","1011","503","5","n/e","321","n/e","179","","102","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1911"
"BZN|IE(SEM)","01.01.2017 21:00 - 01.01.2017 21:30 (CET/CEST)","n/e","n/e","n/e","1087","551","5","n/e","330","n/e","156","","106","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1732"
"BZN|IE(SEM)","01.01.2017 21:30 - 01.01.2017 22:00 (CET/CEST)","n/e","n/e","n/e","961","587","6","n/e","318","n/e","58","","92","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1803"
