"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|LT","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","16","n/e","n/e","41","n/e","12","n/e","n/e","n/e","0","19","22","n/e","n/e","n/e","12","n/e","0","18","n/e","369"
"BZN|LT","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","16","n/e","n/e","41","n/e","11","n/e","n/e","n/e","0","19","22","n/e","n/e","n/e","12","n/e","0","18","n/e","373"
"BZN|LT","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","16","n/e","n/e","41","n/e","11","n/e","n/e","n/e","0","19","22","n/e","n/e","n/e","12","n/e","0","18","n/e","377"
"BZN|LT","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","16","n/e","n/e","41","n/e","12","n/e","n/e","n/e","0","19","22","n/e","n/e","n/e","12","n/e","0","18","n/e","364"
"BZN|LT","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","16","n/e","n/e","41","n/e","13","n/e","n/e","n/e","0","19","22","n/e","n/e","n/e","13","n/e","0","18","n/e","361"
"BZN|LT","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","16","n/e","n/e","41","n/e","13","n/e","n/e","n/e","0","100","22","n/e","n/e","n/e","12","n/e","0","18","n/e","368"
"BZN|LT","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","16","n/e","n/e","41","n/e","12","n/e","n/e","n/e","0","115","49","n/e","n/e","n/e","12","n/e","0","18","n/e","372"
"BZN|LT","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","16","n/e","n/e","39","n/e","11","n/e","n/e","n/e","0","71","48","n/e","n/e","n/e","12","n/e","0","18","n/e","372"
"BZN|LT","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","16","n/e","n/e","41","n/e","12","n/e","n/e","n/e","0","88","48","n/e","n/e","n/e","13","n/e","1","18","n/e","356"
"BZN|LT","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","16","n/e","n/e","41","n/e","11","n/e","n/e","n/e","0","102","48","n/e","n/e","n/e","12","n/e","1","18","n/e","362"
"BZN|LT","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","16","n/e","n/e","41","n/e","11","n/e","n/e","n/e","0","55","97","n/e","n/e","n/e","12","n/e","5","18","n/e","365"
"BZN|LT","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","16","n/e","n/e","41","n/e","11","n/e","n/e","n/e","0","0","97","n/e","n/e","n/e","13","n/e","5","18","n/e","356"
"BZN|LT","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","15","n/e","n/e","39","n/e","11","n/e","n/e","n/e","0","0","94","n/e","n/e","n/e","12","n/e","5","18","n/e","371"
"BZN|LT","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","16","n/e","n/e","41","n/e","12","n/e","n/e","n/e","0","56","97","n/e","n/e","n/e","12","n/e","4","18","n/e","385"
"BZN|LT","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","16","n/e","n/e","41","n/e","12","n/e","n/e","n/e","0","38","97","n/e","n/e","n/e","12","n/e","0","18","n/e","378"
"BZN|LT","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","16","n/e","n/e","40","n/e","12","n/e","n/e","n/e","0","0","97","n/e","n/e","n/e","12","n/e","0","18","n/e","367"
"BZN|LT","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","16","n/e","n/e","40","n/e","12","n/e","n/e","n/e","0","37","97","n/e","n/e","n/e","12","n/e","0","18","n/e","350"
"BZN|LT","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","16","n/e","n/e","40","n/e","12","n/e","n/e","n/e","0","38","97","n/e","n/e","n/e","12","n/e","0","18","n/e","339"
"BZN|LT","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","16","n/e","n/e","40","n/e","12","n/e","n/e","n/e","0","0","97","n/e","n/e","n/e","13","n/e","0","18","n/e","318"
