"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|LV","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","53"
"BZN|LV","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","54"
"BZN|LV","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","53"
"BZN|LV","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","53"
"BZN|LV","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","53"
"BZN|LV","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","53"
"BZN|LV","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","53"
"BZN|LV","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","136","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","52"
"BZN|LV","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","197","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","52"
"BZN|LV","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","89","n/e","n/e","1","n/e","n/e","n/e","n/e","n/e","n/e","n/e","247","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","52"
