"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|SE","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2735","n/e","9084","1093","n/e","n/e","n/e","n/e","3638"
"CTA|SE","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2636","n/e","9085","1105","n/e","n/e","n/e","n/e","3430"
"CTA|SE","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2643","n/e","9084","1103","n/e","n/e","n/e","n/e","3290"
"CTA|SE","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2753","n/e","9087","1109","n/e","n/e","n/e","n/e","3053"
"CTA|SE","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2762","n/e","9087","1136","n/e","n/e","n/e","n/e","2932"
"CTA|SE","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2860","n/e","9090","1169","n/e","n/e","n/e","n/e","2787"
"CTA|SE","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3020","n/e","9091","1146","n/e","n/e","n/e","n/e","2662"
"CTA|SE","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3414","n/e","9092","1167","n/e","n/e","n/e","n/e","2612"
"CTA|SE","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3613","n/e","9091","1156","n/e","n/e","n/e","n/e","2553"
"CTA|SE","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3964","n/e","9093","1142","n/e","n/e","n/e","n/e","2392"
"CTA|SE","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4262","n/e","9094","1145","n/e","n/e","n/e","n/e","2243"
"CTA|SE","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4356","n/e","9092","1155","n/e","n/e","n/e","n/e","2080"
"CTA|SE","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4578","n/e","9093","1128","n/e","n/e","n/e","n/e","1968"
"CTA|SE","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4762","n/e","9092","1138","n/e","n/e","n/e","n/e","2013"
"CTA|SE","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5159","n/e","9091","1132","n/e","n/e","n/e","n/e","2077"
"CTA|SE","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5382","n/e","9090","1162","n/e","n/e","n/e","n/e","2107"
"CTA|SE","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5818","n/e","9088","1217","n/e","n/e","n/e","n/e","2288"
"CTA|SE","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6002","n/e","9089","1213","n/e","n/e","n/e","n/e","2426"
"CTA|SE","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6078","n/e","9088","1263","n/e","n/e","n/e","n/e","2659"
"CTA|SE","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5986","n/e","9088","1267","n/e","n/e","n/e","n/e","2680"
"CTA|SE","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5408","n/e","9090","1272","n/e","n/e","n/e","n/e","2747"
"CTA|SE","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5035","n/e","9091","1254","n/e","n/e","n/e","n/e","2735"
"CTA|SE","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4325","n/e","9091","1240","n/e","n/e","n/e","n/e","2614"
"CTA|SE","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3788","n/e","9090","1229","n/e","n/e","n/e","n/e","2546"
"CTA|SE","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3353","n/e","9090","1274","n/e","n/e","n/e","n/e","2585"
"CTA|SE","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3330","n/e","9092","1279","n/e","n/e","n/e","n/e","2516"
"CTA|SE","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3278","n/e","9091","1322","n/e","n/e","n/e","n/e","2472"
"CTA|SE","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3258","n/e","9093","1359","n/e","n/e","n/e","n/e","2495"
"CTA|SE","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3342","n/e","9091","1376","n/e","n/e","n/e","n/e","2586"
"CTA|SE","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4098","n/e","9090","1418","n/e","n/e","n/e","n/e","2543"
"CTA|SE","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6349","n/e","9088","1482","n/e","n/e","n/e","n/e","2449"
"CTA|SE","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8701","n/e","9089","1508","n/e","n/e","n/e","n/e","2306"
