"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","01.01.2017 00:00 - 01.01.2017 00:30 (CET/CEST)","N/A","n/e","n/e","8746","3720","0","n/e","n/e","n/e","40","","963","n/e","n/e","7401","2122","n/e","0","n/e","2639","2773"
"BZN|GB","01.01.2017 00:30 - 01.01.2017 01:00 (CET/CEST)","N/A","n/e","n/e","7902","3821","0","n/e","n/e","n/e","69","","959","n/e","n/e","7403","2125","n/e","0","n/e","2583","2740"
"BZN|GB","01.01.2017 01:00 - 01.01.2017 01:30 (CET/CEST)","N/A","n/e","n/e","7485","3811","0","n/e","n/e","n/e","0","","956","n/e","n/e","7401","2124","n/e","0","n/e","2141","2750"
"BZN|GB","01.01.2017 01:30 - 01.01.2017 02:00 (CET/CEST)","N/A","n/e","n/e","8191","3823","0","n/e","n/e","n/e","36","","910","n/e","n/e","7406","2124","n/e","0","n/e","1843","2752"
"BZN|GB","01.01.2017 02:00 - 01.01.2017 02:30 (CET/CEST)","N/A","n/e","n/e","8429","3802","0","n/e","n/e","n/e","0","","872","n/e","n/e","7403","2121","n/e","0","n/e","2077","2609"
"BZN|GB","01.01.2017 02:30 - 01.01.2017 03:00 (CET/CEST)","N/A","n/e","n/e","7176","3798","0","n/e","n/e","n/e","0","","858","n/e","n/e","7413","2123","n/e","0","n/e","2566","2873"
"BZN|GB","01.01.2017 03:00 - 01.01.2017 03:30 (CET/CEST)","N/A","n/e","n/e","6895","3796","0","n/e","n/e","n/e","0","","864","n/e","n/e","7382","2124","n/e","0","n/e","2390","3010"
"BZN|GB","01.01.2017 03:30 - 01.01.2017 04:00 (CET/CEST)","N/A","n/e","n/e","6828","3532","0","n/e","n/e","n/e","0","","848","n/e","n/e","7222","2118","n/e","0","n/e","2256","3157"
"BZN|GB","01.01.2017 04:00 - 01.01.2017 04:30 (CET/CEST)","N/A","n/e","n/e","6281","3297","0","n/e","n/e","n/e","0","","846","n/e","n/e","7175","2123","n/e","0","n/e","2129","3465"
"BZN|GB","01.01.2017 04:30 - 01.01.2017 05:00 (CET/CEST)","N/A","n/e","n/e","5661","3188","0","n/e","n/e","n/e","0","","833","n/e","n/e","7170","2121","n/e","0","n/e","2259","3517"
"BZN|GB","01.01.2017 05:00 - 01.01.2017 05:30 (CET/CEST)","N/A","n/e","n/e","5306","3103","0","n/e","n/e","n/e","0","","831","n/e","n/e","7169","2122","n/e","0","n/e","2391","3571"
"BZN|GB","01.01.2017 05:30 - 01.01.2017 06:00 (CET/CEST)","N/A","n/e","n/e","5758","2606","0","n/e","n/e","n/e","0","","829","n/e","n/e","7178","2123","n/e","0","n/e","2475","3481"
"BZN|GB","01.01.2017 06:00 - 01.01.2017 06:30 (CET/CEST)","N/A","n/e","n/e","5657","2649","0","n/e","n/e","n/e","0","","859","n/e","n/e","7179","2122","n/e","0","n/e","2562","3392"
"BZN|GB","01.01.2017 06:30 - 01.01.2017 07:00 (CET/CEST)","N/A","n/e","n/e","5444","2737","0","n/e","n/e","n/e","0","","858","n/e","n/e","7187","2121","n/e","0","n/e","2531","3577"
"BZN|GB","01.01.2017 07:00 - 01.01.2017 07:30 (CET/CEST)","N/A","n/e","n/e","5393","2948","0","n/e","n/e","n/e","0","","861","n/e","n/e","7254","2123","n/e","0","n/e","2311","3606"
"BZN|GB","01.01.2017 07:30 - 01.01.2017 08:00 (CET/CEST)","N/A","n/e","n/e","5514","3087","0","n/e","n/e","n/e","0","","854","n/e","n/e","7402","2125","n/e","0","n/e","2358","3523"
"BZN|GB","01.01.2017 08:00 - 01.01.2017 08:30 (CET/CEST)","N/A","n/e","n/e","5764","3196","0","n/e","n/e","n/e","0","","954","n/e","n/e","7399","2122","n/e","0","n/e","2074","3740"
"BZN|GB","01.01.2017 08:30 - 01.01.2017 09:00 (CET/CEST)","N/A","n/e","n/e","5090","2605","0","n/e","n/e","n/e","0","","901","n/e","n/e","7411","2126","n/e","0","n/e","2028","4016"
"BZN|GB","01.01.2017 09:00 - 01.01.2017 09:30 (CET/CEST)","N/A","n/e","n/e","5129","2307","0","n/e","n/e","n/e","376","","858","n/e","n/e","7411","2123","n/e","14","n/e","2164","3755"
"BZN|GB","01.01.2017 09:30 - 01.01.2017 10:00 (CET/CEST)","N/A","n/e","n/e","5402","2795","0","n/e","n/e","n/e","392","","862","n/e","n/e","7410","2123","n/e","82","n/e","2278","3613"
"BZN|GB","01.01.2017 10:00 - 01.01.2017 10:30 (CET/CEST)","N/A","n/e","n/e","5824","2825","0","n/e","n/e","n/e","644","","861","n/e","n/e","7425","2124","n/e","170","n/e","2328","3682"
"BZN|GB","01.01.2017 10:30 - 01.01.2017 11:00 (CET/CEST)","N/A","n/e","n/e","7270","3011","0","n/e","n/e","n/e","341","","869","n/e","n/e","7428","2125","n/e","284","n/e","2285","3885"
"BZN|GB","01.01.2017 11:00 - 01.01.2017 11:30 (CET/CEST)","N/A","n/e","n/e","7425","2890","0","n/e","n/e","n/e","341","","866","n/e","n/e","7425","2116","n/e","400","n/e","2625","4053"
"BZN|GB","01.01.2017 11:30 - 01.01.2017 12:00 (CET/CEST)","N/A","n/e","n/e","8310","3018","0","n/e","n/e","n/e","343","","952","n/e","n/e","7411","2125","n/e","468","n/e","2823","4342"
"BZN|GB","01.01.2017 12:00 - 01.01.2017 12:30 (CET/CEST)","N/A","n/e","n/e","9551","2834","0","n/e","n/e","n/e","467","","946","n/e","n/e","7408","2131","n/e","551","n/e","2739","4131"
"BZN|GB","01.01.2017 12:30 - 01.01.2017 13:00 (CET/CEST)","N/A","n/e","n/e","10552","3135","0","n/e","n/e","n/e","341","","915","n/e","n/e","7408","2127","n/e","569","n/e","2543","4376"
"BZN|GB","01.01.2017 13:00 - 01.01.2017 13:30 (CET/CEST)","N/A","n/e","n/e","10728","3495","0","n/e","n/e","n/e","342","","999","n/e","n/e","7410","2123","n/e","539","n/e","2757","4575"
"BZN|GB","01.01.2017 13:30 - 01.01.2017 14:00 (CET/CEST)","N/A","n/e","n/e","11222","3715","0","n/e","n/e","n/e","361","","992","n/e","n/e","7402","2125","n/e","549","n/e","2903","4720"
"BZN|GB","01.01.2017 14:00 - 01.01.2017 14:30 (CET/CEST)","N/A","n/e","n/e","11186","3853","0","n/e","n/e","n/e","349","","1005","n/e","n/e","7416","2124","n/e","504","n/e","2811","4834"
"BZN|GB","01.01.2017 14:30 - 01.01.2017 15:00 (CET/CEST)","N/A","n/e","n/e","11389","3901","0","n/e","n/e","n/e","404","","994","n/e","n/e","7412","2127","n/e","448","n/e","2556","4780"
"BZN|GB","01.01.2017 15:00 - 01.01.2017 15:30 (CET/CEST)","N/A","n/e","n/e","11493","4076","0","n/e","n/e","n/e","422","","1034","n/e","n/e","7404","2130","n/e","333","n/e","2189","4978"
"BZN|GB","01.01.2017 15:30 - 01.01.2017 16:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","284","n/e","2001","4868"
"BZN|GB","01.01.2017 16:00 - 01.01.2017 16:30 (CET/CEST)","N/A","n/e","n/e","12169","4307","0","n/e","n/e","n/e","410","","1084","n/e","n/e","7398","2126","n/e","179","n/e","1859","4609"
"BZN|GB","01.01.2017 16:30 - 01.01.2017 17:00 (CET/CEST)","N/A","n/e","n/e","12615","4329","0","n/e","n/e","n/e","341","","1131","n/e","n/e","7362","2126","n/e","49","n/e","1904","4771"
"BZN|GB","01.01.2017 17:00 - 01.01.2017 17:30 (CET/CEST)","N/A","n/e","n/e","14039","4477","0","n/e","n/e","n/e","372","","1059","n/e","n/e","7208","2129","n/e","0","n/e","1817","4561"
"BZN|GB","01.01.2017 17:30 - 01.01.2017 18:00 (CET/CEST)","N/A","n/e","n/e","14855","4714","0","n/e","n/e","n/e","386","","1060","n/e","n/e","7185","2128","n/e","0","n/e","2389","4884"
"BZN|GB","01.01.2017 18:00 - 01.01.2017 18:30 (CET/CEST)","N/A","n/e","n/e","15310","4678","0","n/e","n/e","n/e","850","","1096","n/e","n/e","7176","2129","n/e","0","n/e","2194","4589"
"BZN|GB","01.01.2017 18:30 - 01.01.2017 19:00 (CET/CEST)","N/A","n/e","n/e","15536","4826","0","n/e","n/e","n/e","746","","1144","n/e","n/e","7178","2131","n/e","0","n/e","2489","4190"
"BZN|GB","01.01.2017 19:00 - 01.01.2017 19:30 (CET/CEST)","N/A","n/e","n/e","14880","4628","0","n/e","n/e","n/e","713","","1258","n/e","n/e","7184","2129","n/e","0","n/e","2657","4312"
"BZN|GB","01.01.2017 19:30 - 01.01.2017 20:00 (CET/CEST)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","0","n/e","2703","4261"
"BZN|GB","01.01.2017 20:00 - 01.01.2017 20:30 (CET/CEST)","N/A","n/e","n/e","14826","4306","0","n/e","n/e","n/e","568","","1209","n/e","n/e","7178","2127","n/e","0","n/e","2913","4122"
"BZN|GB","01.01.2017 20:30 - 01.01.2017 21:00 (CET/CEST)","N/A","n/e","n/e","14827","4254","0","n/e","n/e","n/e","341","","1202","n/e","n/e","7199","2129","n/e","0","n/e","2904","3974"
"BZN|GB","01.01.2017 21:00 - 01.01.2017 21:30 (CET/CEST)","N/A","n/e","n/e","14053","3745","0","n/e","n/e","n/e","573","","1120","n/e","n/e","7197","2128","n/e","0","n/e","2982","3747"
"BZN|GB","01.01.2017 21:30 - 01.01.2017 22:00 (CET/CEST)","N/A","n/e","n/e","13182","3310","0","n/e","n/e","n/e","1090","","1081","n/e","n/e","7345","2132","n/e","0","n/e","2853","3541"
"BZN|GB","01.01.2017 22:00 - 01.01.2017 22:30 (CET/CEST)","N/A","n/e","n/e","12993","3313","0","n/e","n/e","n/e","344","","980","n/e","n/e","7413","2132","n/e","0","n/e","2945","3508"
"BZN|GB","01.01.2017 22:30 - 01.01.2017 23:00 (CET/CEST)","N/A","n/e","n/e","11997","3312","0","n/e","n/e","n/e","418","","942","n/e","n/e","7414","2116","n/e","0","n/e","2799","3317"
"BZN|GB","01.01.2017 23:00 - 01.01.2017 23:30 (CET/CEST)","N/A","n/e","n/e","11349","3316","0","n/e","n/e","n/e","516","","936","n/e","n/e","7419","2125","n/e","0","n/e","2590","3274"
"BZN|GB","01.01.2017 23:30 - 02.01.2017 00:00 (CET/CEST)","N/A","n/e","n/e","10989","3315","0","n/e","n/e","n/e","680","","937","n/e","n/e","7422","2127","n/e","0","n/e","2369","2950"
"BZN|GB","02.01.2017 00:00 - 02.01.2017 00:30 (CET/CEST)","N/A","n/e","n/e","10294","3305","0","n/e","n/e","n/e","40","","775","n/e","n/e","7413","2124","n/e","0","n/e","2290","2810"
"BZN|GB","02.01.2017 00:30 - 02.01.2017 01:00 (CET/CEST)","N/A","n/e","n/e","9203","3268","0","n/e","n/e","n/e","0","","769","n/e","n/e","7421","2125","n/e","0","n/e","2329","2786"
"BZN|GB","02.01.2017 01:00 - 02.01.2017 01:30 (CET/CEST)","N/A","n/e","n/e","8675","3205","0","n/e","n/e","n/e","0","","766","n/e","n/e","7412","2127","n/e","0","n/e","2073","2698"
"BZN|GB","02.01.2017 01:30 - 02.01.2017 02:00 (CET/CEST)","N/A","n/e","n/e","8543","3240","0","n/e","n/e","n/e","0","","769","n/e","n/e","7427","2118","n/e","0","n/e","2039","2521"
"BZN|GB","02.01.2017 02:00 - 02.01.2017 02:30 (CET/CEST)","N/A","n/e","n/e","8705","3314","0","n/e","n/e","n/e","0","","770","n/e","n/e","7415","2128","n/e","0","n/e","2102","2340"
"BZN|GB","02.01.2017 02:30 - 02.01.2017 03:00 (CET/CEST)","N/A","n/e","n/e","7909","3310","0","n/e","n/e","n/e","0","","671","n/e","n/e","7429","2124","n/e","0","n/e","2306","2352"
"BZN|GB","02.01.2017 03:00 - 02.01.2017 03:30 (CET/CEST)","N/A","n/e","n/e","7557","3272","0","n/e","n/e","n/e","0","","663","n/e","n/e","7419","2124","n/e","0","n/e","2388","2290"
"BZN|GB","02.01.2017 03:30 - 02.01.2017 04:00 (CET/CEST)","N/A","n/e","n/e","7418","3255","0","n/e","n/e","n/e","0","","652","n/e","n/e","7413","2129","n/e","0","n/e","2412","2324"
