utc_timestamp;BE_heat_demand_total;DE_heat_demand_total;DK_heat_demand_total;EE_heat_demand_total;FI_heat_demand_total;FR_heat_demand_total;GB_heat_demand_total;IE_heat_demand_total;LT_heat_demand_total;LV_heat_demand_total;NL_heat_demand_total;PL_heat_demand_total;SE_heat_demand_total
2011-01-01T00:00:00Z;11286;82033;5272;1303;9426;57173;41228;2428;1522;1614;14687;21623;10764
2011-01-01T01:00:00Z;11836;84803;5464;1373;9799;59389;42048;2527;1612;1706;15360;22302;11027
2011-01-01T02:00:00Z;12624;90128;5861;1557;10557;63483;43826;2606;1852;1944;16451;23715;11658
2011-01-01T03:00:00Z;14500;103227;6854;2061;13973;73163;47159;2878;2492;2589;19027;27309;13247
2011-01-01T04:00:00Z;19738;139453;9588;2429;17891;98559;55304;3527;2957;3056;25988;37319;17787
2011-01-01T05:00:00Z;23375;165139;11461;2316;16359;116666;76532;4918;2813;2912;30859;44461;21305
2011-01-01T06:00:00Z;22326;157584;10897;2270;15834;111896;90957;5852;2735;2847;29509;42321;20184
2011-01-01T07:00:00Z;21850;153871;10527;2208;15237;109226;86720;5601;2655;2767;28753;41073;19642
2011-01-01T08:00:00Z;20898;148214;10083;2120;14537;104449;84230;5380;2552;2659;27439;39586;19005
2011-01-01T09:00:00Z;19826;141714;9621;2060;14173;99032;80333;5058;2472;2580;26007;37825;18224
2011-01-01T10:00:00Z;19402;137783;9342;2013;13728;96602;76021;4726;2415;2520;25412;36795;17693
2011-01-01T11:00:00Z;18565;133303;9014;1975;13495;92941;74187;4593;2361;2470;24327;35631;17207
2011-01-01T12:00:00Z;18225;131115;8865;1979;13338;90830;71369;4445;2376;2480;23785;34921;16882
2011-01-01T13:00:00Z;18023;131031;8875;1985;13682;90034;69912;4306;2384;2489;23545;34892;16904
2011-01-01T14:00:00Z;18433;132882;9048;2075;14307;91738;69400;4277;2494;2603;24072;35303;17072
2011-01-01T15:00:00Z;19361;139055;9487;2122;14736;96172;71084;4419;2555;2664;25285;36987;17855
2011-01-01T16:00:00Z;20188;143541;9871;2123;14519;99946;74762;4665;2561;2668;26392;38249;18350
2011-01-01T17:00:00Z;20310;144206;9951;2096;14512;100741;78202;4926;2533;2635;26591;38395;18365
2011-01-01T18:00:00Z;20011;142408;9858;2030;14228;99478;79010;5038;2455;2552;26227;37985;18180
2011-01-01T19:00:00Z;19349;137673;9534;1846;13241;96430;78162;5014;2231;2319;25401;36809;17638
2011-01-01T20:00:00Z;17867;126060;8723;1540;11547;88666;75733;4886;1836;1922;23443;33670;16119
2011-01-01T21:00:00Z;14357;102386;6878;1303;9725;72072;69320;4417;1530;1617;18811;27302;13326
2011-01-01T22:00:00Z;11931;85282;5564;1484;10611;59933;54953;3454;1632;1753;15534;22570;11130
2011-01-01T23:00:00Z;12021;84982;6324;1483;10519;57662;44659;2707;1674;1789;15820;22933;12088
2011-01-02T00:00:00Z;12350;87320;6487;1496;10618;59691;47902;3089;1697;1812;16298;23490;12319
2011-01-02T01:00:00Z;12319;87970;6568;1548;10890;59349;49394;3200;1810;1920;16243;23723;12475
2011-01-02T02:00:00Z;13381;94654;7016;1679;11580;64632;49382;3194;2080;2180;17727;25280;13196
2011-01-02T03:00:00Z;16067;110820;8101;2228;15275;77664;53745;3477;2796;2912;21431;29101;14925
2011-01-02T04:00:00Z;21628;149007;10890;2704;18921;104552;64992;4221;3158;3308;28919;39233;19900
2011-01-02T05:00:00Z;23504;165017;12255;2481;17281;113475;88980;5833;2983;3112;31359;44013;22679
2011-01-02T06:00:00Z;22230;156184;11575;2404;16553;107421;98431;6514;2931;3068;29689;41576;21330
2011-01-02T07:00:00Z;21951;153970;11400;2314;15919;105539;92967;6142;2839;2968;29166;40969;20979
